local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Glaucoma,Glaucoma,condition,MONDO Code,condition_description,0005041,glaucoma,http://purl.obolibrary.org/obo/mondo.owl,
B-precursor ALL,B-precursor ALL,condition,MONDO Code,condition_description,0020511,precursor B-cell acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/mondo.owl,
Testicular cancer,Testicular cancer,condition,MONDO Code,condition_description,0005447,testicular cancer,http://purl.obolibrary.org/obo/mondo.owl,
Peptic ulcers,Peptic ulcers,condition,MONDO Code,condition_description,0004247,peptic ulcer disease,http://purl.obolibrary.org/obo/mondo.owl,
Cystic dysplastic kidney,Cystic dysplastic kidney,condition,MONDO Code,condition_description,0015988,multicystic dysplastic kidney,http://purl.obolibrary.org/obo/mondo.owl,
Vitamin B deficiency,Vitamin B deficiency,condition,MONDO Code,condition_description,0042976,vitamin B deficiency,http://purl.obolibrary.org/obo/mondo.owl,
Tinea Cruris,Tinea Cruris,condition,MONDO Code,condition_description,0004678,dermatophytosis,http://purl.obolibrary.org/obo/mondo.owl,
Acne,Acne,condition,MONDO Code,condition_description,0011438,acne,http://purl.obolibrary.org/obo/mondo.owl,
Type I (juvenile diabetes),Type I (juvenile diabetes),condition,MONDO Code,condition_description,0005147,type 1 diabetes mellitus,http://purl.obolibrary.org/obo/mondo.owl,
Psoriasis,Psoriasis,condition,MONDO Code,condition_description,0005083,psoriasis,http://purl.obolibrary.org/obo/mondo.owl,
Hydronephrosis,Hydronephrosis,condition,MONDO Code,condition_description,0005510,hydronephrosis,http://purl.obolibrary.org/obo/mondo.owl,
Weight at last encounter,Weight at last encounter,condition,Other Code,condition_description,29463-7,Body weight,https://loinc.org/,
Onychomycosis,Onychomycosis,condition,MONDO Code,condition_description,0004678,dermatophytosis,http://purl.obolibrary.org/obo/mondo.owl,
Please specfy other psych condition,Please specfy other psych condition,condition,MONDO Code,condition_description,0002025,psychiatric disorder,http://purl.obolibrary.org/obo/mondo.owl,
